"filename", "language", "C++", "CMake", "YAML", "JSON", "Markdown", "Swift", "Dart", "HTML", "XML", "Properties", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\officeLogin.dart", "Dart", 0, 0, 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 7, 6, 256
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\postsDetail.dart", "Dart", 0, 0, 0, 0, 0, 0, 638, 0, 0, 0, 0, 0, 29, 10, 677
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\search_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 953, 0, 0, 0, 0, 0, 83, 65, 1101
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\lib\subscription_pageOne.dart", "Dart", 0, 0, 0, 0, 0, 0, 447, 0, 0, 0, 0, 0, 2, 41, 490
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\flutter\generated_plugins.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\runner\CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 4, 17
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\pubspec.yaml", "YAML", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 52
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 15, 5, 39
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\flutter\CMakeLists.txt", "CMake", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\flutter\generated_plugin_registrant.cc", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\flutter\generated_plugins.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\CMakeLists.txt", "CMake", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\ZETTA\Desktop\aqarat_flutter_project2\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 554, 465, 35, 643, 13, 59, 12244, 19, 472, 8, 343, 8, 1118, 1134, 17115
