Date : 2025-12-18 12:59:06
Directory : c:\Users\ZETTA\Desktop\nzaKishFinala
Total : 152 files,  28703 codes, 2172 comments, 2274 blanks, all 33149 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| windows\runner                                                                                          |          9 |        462 |         85 |        139 |        686 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\ZETTA\Desktop\nzaKishFinala\README.md                                                          | Markdown         |         10 |          0 |          7 |         17 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\analysis_options.yaml                                              | YAML             |          3 |         22 |          4 |         29 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\debug\AndroidManifest.xml                          | XML              |          3 |          4 |          1 |          8 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\AndroidManifest.xml                           | XML              |         39 |         11 |          2 |         52 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\drawable-v21\launch_background.xml        | XML              |          9 |          0 |          1 |         10 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\drawable\android12splash.xml              | XML              |         25 |          0 |          1 |         26 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\drawable\launch_background.xml            | XML              |          9 |          0 |          1 |         10 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\values-night-v31\styles.xml               | XML              |         15 |          7 |          1 |         23 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\values-night\styles.xml                   | XML              |         13 |          9 |          1 |         23 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\values-v31\styles.xml                     | XML              |         15 |          7 |          1 |         23 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\values\styles.xml                         | XML              |         13 |          9 |          1 |         23 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\main\res\xml\network_security_config.xml           | XML              |          9 |          0 |          1 |         10 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\app\src\profile\AndroidManifest.xml                        | XML              |          3 |          4 |          1 |          8 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\build\reports\problems\problems-report.html                | HTML             |        548 |          2 |        114 |        664 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\gradle.properties                                          | Properties       |          3 |          0 |          1 |          4 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\android\gradle\wrapper\gradle-wrapper.properties                   | Properties       |          5 |          0 |          1 |          6 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\__init__.py                                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\cleanup\delete_expired_posts.py                        | Python           |         31 |          3 |          9 |         43 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\db\database.py                                         | Python           |         13 |          9 |          4 |         26 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\main.py                                                | Python           |         38 |          1 |         11 |         50 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\requirements.txt                                       | pip requirements |          8 |          0 |          1 |          9 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\admin.py                                        | Python           |        174 |         45 |         51 |        270 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\authentication.py                               | Python           |        373 |         38 |         93 |        504 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\bookmark.py                                     | Python           |         31 |          0 |          8 |         39 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\db_routes.py                                    | Python           |         15 |          0 |          3 |         18 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\email.py                                        | Python           |         35 |         26 |          9 |         70 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\emailRequest.py                                 | Python           |        183 |        166 |         27 |        376 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\forgetpass.py                                   | Python           |         54 |        205 |         19 |        278 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\payment.py                                      | Python           |         55 |          0 |         13 |         68 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\postadd.py                                      | Python           |         96 |          8 |         36 |        140 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\postavailable.py                                | Python           |         59 |         61 |         16 |        136 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\posts.py                                        | Python           |        129 |         36 |         12 |        177 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\purches.py                                      | Python           |         39 |          0 |          6 |         45 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\reklam.py                                       | Python           |         69 |          4 |         19 |         92 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\search.py                                       | Python           |         45 |        233 |          9 |        287 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\subscriptionActivate.py                         | Python           |         49 |          5 |         11 |         65 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\subscriptions.py                                | Python           |         60 |         53 |         18 |        131 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\routes\users.py                                        | Python           |         28 |          0 |          8 |         36 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\utils\bunny_upload.py                                  | Python           |         32 |          4 |         14 |         50 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\app\utils\email.py                                         | Python           |         12 |          0 |          3 |         15 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\backend\requirements.txt                                           | pip requirements |        397 |          0 |          0 |        397 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\cancel_payment.php                                 | PHP              |         26 |          0 |          5 |         31 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\check_status.php                                   | PHP              |         25 |          0 |          5 |         30 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\cheking.php                                        | PHP              |          8 |          0 |          2 |         10 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\connect.php                                        | PHP              |          7 |          0 |         15 |         22 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\create_payment.php                                 | PHP              |         52 |          2 |          9 |         63 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\get_token.php                                      | PHP              |         24 |          1 |          6 |         31 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\payment-callback.php                               | PHP              |         13 |          2 |          4 |         19 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\refund_payment.php                                 | PHP              |         26 |          0 |          5 |         31 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\flutter_fib_api\success.php                                        | PHP              |        214 |          2 |         13 |        229 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\images\Bod-logo(512x512)-White.svg                                 | XML              |          1 |          0 |          0 |          1 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\RunnerTests\RunnerTests.swift                                  | Swift            |          7 |          2 |          4 |         13 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\Runner\AppDelegate.swift                                       | Swift            |         12 |          0 |          2 |         14 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json        | JSON             |        122 |          0 |          1 |        123 |
| c:\Users\ZETTA\Desktop\nzaKishFinala\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json | JSON             |         21 |          0 |          1 |         22 |
